0.000, 00.000
0.007, 32.214
0.013, 69.029
0.019, 87.437
0.026, 88.971
0.032, 90.505
0.038, 90.505
0.044, 93.573
0.051, 98.175
0.057, 85.903
0.063, 101.243
0.069, 101.243
0.076, 101.243
0.082, 90.506
0.088, 104.311
0.094, 102.777
0.101, 90.505
0.107, 101.242
0.113, 102.777
0.119, 88.970
0.126, 88.971
0.132, 102.777
0.138, 101.243
0.144, 102.777
0.151, 102.776
0.157, 102.777
0.163, 88.970
0.169, 101.244
0.176, 102.776
0.182, 101.244
0.188, 88.970
0.194, 101.242
0.201, 101.242
0.207, 101.242
0.213, 102.776
0.219, 88.970
0.226, 88.970
0.232, 101.244
0.238, 101.242
0.244, 90.504
0.251, 88.970
0.257, 102.777
0.263, 102.777
0.269, 101.242
0.275, 102.776
0.282, 101.242
0.288, 88.970
0.294, 102.776
0.301, 101.242
0.307, 102.777
0.313, 88.970
0.319, 102.777
0.326, 102.776
0.332, 87.437
0.338, 102.776
0.344, 101.242
0.351, 101.242
0.357, 90.504
0.363, 99.709
0.369, 101.242
0.376, 88.974
0.382, 99.709
0.388, 102.779
0.394, 87.437
0.401, 88.970
0.407, 101.242
0.413, 101.242
0.419, 102.779
0.426, 101.242
0.432, 102.776
0.438, 88.970
0.444, 102.779
0.451, 104.313
0.457, 101.242
0.463, 102.776
0.469, 104.309
0.476, 88.970
0.482, 102.779
0.488, 101.242
0.494, 88.970
0.501, 88.970
0.507, 84.370
0.513, 101.242
0.519, 88.970
0.525, 101.242
0.532, 104.309
0.538, 88.970
0.544, 102.779
0.551, 101.242
0.557, 101.242
0.563, 90.507
0.569, 101.242
0.576, 101.242
0.582, 102.776
0.588, 101.242
0.594, 102.776
0.601, 101.242
0.607, 87.437
0.613, 101.242
0.619, 99.709
0.626, 102.776
0.632, 101.246
0.638, 102.776
0.644, 101.242
0.651, 88.974
0.657, 102.776
0.663, 101.242
0.669, 88.966
0.676, 102.776
0.682, 101.242
0.688, 90.507
0.694, 101.242
0.701, 102.776
0.707, 102.776
0.713, 88.974
0.719, 102.776
0.726, 102.776
0.732, 101.242
0.738, 104.309
0.744, 87.440
0.751, 88.966
0.757, 101.242
0.763, 101.242
0.769, 88.966
0.776, 88.974
0.782, 102.776
0.788, 102.776
0.794, 87.433
0.801, 101.242
0.807, 101.242
0.813, 87.440
0.819, 102.776
0.826, 101.250
0.832, 101.242
0.838, 88.966
0.844, 101.242
0.850, 104.309
0.857, 88.974
0.863, 102.776
0.869, 101.242
0.876, 101.242
0.882, 90.507
0.888, 101.242
0.894, 101.242
0.901, 102.776
0.907, 99.709
0.913, 102.783
0.919, 88.966
0.926, 88.974
0.932, 101.242
0.938, 99.709
0.944, 101.242
0.951, 101.242
0.957, 101.242
0.963, 88.966
0.969, 102.783
0.976, 104.309
0.982, 102.776
0.988, 90.507
0.994, 102.776
1.001, 101.242
1.007, 102.776
1.013, 102.776
1.019, 87.440
1.025, 101.242
1.032, 101.242
1.038, 101.242
1.044, 88.974
1.051, 101.242
1.057, 102.776
1.063, 88.966
1.069, 101.242
1.076, 101.242
1.082, 101.242
1.088, 88.974
1.094, 101.242
1.100, 101.242
1.107, 102.776
1.113, 101.250
1.119, 102.776
1.126, 101.242
1.132, 87.433
1.138, 102.776
1.144, 101.242
1.151, 102.776
1.157, 102.776
1.163, 101.242
1.169, 90.500
1.176, 88.966
1.182, 102.783
1.188, 102.776
1.194, 88.974
1.201, 90.507
1.207, 101.242
1.213, 88.974
1.219, 102.776
1.226, 102.783
1.232, 102.776
1.238, 90.500
1.244, 101.250
1.251, 102.783
1.257, 88.966
1.263, 102.776
1.269, 88.966
1.276, 88.966
1.282, 102.776
1.288, 101.242
1.294, 88.974
1.301, 90.500
1.307, 101.242
1.313, 101.242
1.319, 99.701
1.326, 101.242
1.332, 101.242
1.338, 95.108
1.344, 101.242
1.351, 99.701
1.357, 102.783
1.363, 90.500
1.369, 101.242
1.376, 102.768
1.382, 87.448
1.388, 99.716
1.394, 102.768
1.401, 96.634
1.407, 88.959
1.413, 101.242
1.419, 101.242
1.426, 104.309
1.432, 99.716
1.438, 102.783
1.444, 88.974
1.451, 87.448
1.457, 102.783
1.463, 101.242
1.469, 87.433
1.476, 88.959
1.482, 101.242
1.488, 104.309
1.494, 101.242
1.501, 102.768
1.507, 101.242
1.513, 87.433
1.519, 102.783
1.526, 101.242
1.532, 102.768
1.538, 88.974
1.544, 101.242
1.550, 102.768
1.557, 101.242
1.563, 101.242
1.569, 88.974
1.576, 88.959
1.582, 102.783
1.588, 102.768
1.594, 88.974
1.600, 102.783
1.607, 99.701
1.613, 88.974
1.619, 102.768
1.626, 101.242
1.632, 102.768
1.638, 87.448
1.644, 102.768
1.651, 102.768
1.657, 99.716
1.663, 101.242
1.669, 101.242
1.675, 88.974
1.682, 90.500
1.688, 101.242
1.694, 102.768
1.701, 101.242
1.707, 99.716
1.713, 104.309
1.719, 88.974
1.726, 88.974
1.732, 101.242
1.738, 101.242
1.744, 90.500
1.751, 101.242
1.757, 102.768
1.763, 90.500
1.769, 101.242
1.776, 102.783
1.782, 101.242
1.788, 88.974
1.794, 102.768
1.801, 102.783
1.807, 104.309
1.813, 102.768
1.819, 101.242
1.826, 88.974
1.832, 99.716
1.838, 101.242
1.844, 88.974
1.851, 87.448
1.857, 101.242
1.863, 101.242
1.869, 90.500
1.876, 102.783
1.882, 101.242
1.888, 90.500
1.894, 99.701
1.901, 101.242
1.907, 101.242
1.913, 87.448
1.919, 101.242
1.926, 99.716
1.932, 88.974
1.938, 102.768
1.944, 101.242
1.951, 101.242
1.957, 88.959
1.963, 102.783
1.969, 102.783
1.976, 99.716
1.982, 102.783
1.988, 101.242
1.994, 88.959
2.001, 90.500
2.007, 101.257
2.013, 102.783
2.019, 88.974
2.026, 101.242
2.032, 104.309
2.038, 88.974
2.044, 102.768
2.051, 101.242
2.057, 101.257
2.063, 90.500
2.069, 101.242
2.076, 102.768
2.082, 90.500
2.088, 99.701
2.094, 102.768
2.101, 88.974
2.107, 101.242
2.113, 101.242
2.119, 88.959
2.126, 88.974
2.132, 101.242
2.138, 101.242
2.144, 88.974
2.151, 101.242
2.157, 102.768
2.163, 88.959
2.169, 101.242
2.175, 102.783
2.182, 101.242
2.188, 88.974
2.194, 102.783
2.201, 101.242
2.207, 102.783
2.213, 99.716
2.219, 102.768
2.226, 101.242
2.232, 88.974
2.238, 102.768
2.244, 101.242
2.251, 102.768
2.257, 88.959
2.263, 101.242
2.269, 101.242
2.276, 87.433
2.282, 101.242
2.288, 104.309
2.294, 88.974
2.301, 88.974
2.307, 101.242
2.313, 101.242
2.319, 90.500
2.326, 101.242
2.332, 102.783
