0.007, -0.8215, -0.1477
0.013, 0.0185, 0.1501
0.019, 0.0514, 0.0774
0.026, -0.5322, -0.2964
0.032, -0.0100, 0.2224
0.038, -0.6959, -0.6299
0.044, 0.1801, 0.2086
0.051, -0.0553, 0.0179
0.057, -0.2135, 0.2796
0.063, -0.4738, -0.0134
0.069, -0.4659, -0.1648
0.076, -0.2796, 0.0328
0.082, -0.8798, 0.0530
0.088, 0.0273, -0.2408
0.094, -0.2653, -0.0885
0.101, 0.2490, -0.0772
0.107, -0.0315, -0.1211
0.113, -0.5540, -0.2148
0.119, 0.2087, 0.1983
0.126, -0.2283, -0.3124
0.132, -0.0403, -0.2392
0.138, 0.2543, -0.0895
0.144, -0.1849, -0.0748
0.151, 0.1421, 0.1990
0.157, 0.1814, 0.3645
0.163, -0.1533, -0.0283
0.169, -0.1595, -0.1191
0.176, -0.2789, -0.0637
0.182, -0.4100, -0.0630
0.188, 0.2178, -0.1000
0.194, -1.3009, -0.8312
0.201, -0.4860, 0.0428
0.207, -0.2215, -0.1708
0.213, -0.0434, 0.1042
0.219, -0.2685, 0.0212
0.226, 0.1812, 0.0069
0.232, -0.0421, 0.0619
0.238, 0.0190, -0.4509
0.244, 0.0532, 0.1352
0.251, -0.1629, -0.1851
0.257, -0.1678, -0.3863
0.263, -0.0767, -0.2606
0.269, 0.2367, 0.2441
0.276, -0.0551, -0.0985
0.282, 0.1851, 0.0520
0.288, -0.5878, -0.0037
0.294, -0.0935, -0.0129
0.301, 0.0361, 0.1029
0.307, -0.2691, 0.1620
0.313, -0.0737, 0.0662
0.319, -0.0641, -0.5874
0.326, -0.2487, 0.4614
0.332, -0.7204, -0.7099
0.338, 0.1412, -0.2648
0.344, -0.5569, -0.0278
0.351, -0.3095, -0.2777
0.357, -0.0487, -0.2468
0.363, -0.1794, 0.0729
0.369, -0.2331, -0.0920
0.376, -0.2165, 0.0811
0.382, -0.2543, -0.2480
0.388, -0.4843, 0.0251
0.394, -0.1882, -0.1010
0.401, -0.2807, 0.1665
0.407, -0.6957, 0.0259
0.413, 0.0525, -0.3616
0.419, -0.1554, 0.3224
0.426, -0.1844, -0.5326
0.432, 0.0244, 0.3629
0.438, -0.2330, -0.6578
0.444, 0.1056, -0.1905
0.451, -0.3372, 0.4584
0.457, 0.0725, 0.1837
0.463, -0.2186, -0.2208
0.469, 0.2215, 0.1200
0.476, -0.2729, -0.2682
0.482, 0.0378, -0.0572
0.488, -0.8238, 0.1893
0.494, 0.0051, -0.1264
0.501, 0.0563, 0.2488
0.507, -0.5227, -0.0654
0.513, 0.1043, 0.2590
0.519, -0.5598, -0.9256
0.526, 0.0939, 0.2007
0.532, -0.0325, 0.3058
0.538, 0.0002, -0.2258
0.544, 0.5348, 0.1908
0.551, -0.3184, 0.2063
0.557, -0.2363, -0.0809
0.563, -0.5165, -0.6644
0.569, 0.0851, 0.1510
0.576, -0.7550, -0.2482
0.582, -0.3959, 0.2561
0.588, -0.4924, -0.1232
0.594, -0.2299, 0.0573
0.601, -0.0005, -0.2123
0.607, -0.1053, -0.3428
0.613, 0.2533, 0.2820
0.619, -0.3392, -0.1141
0.626, 0.1116, 0.0543
0.632, -0.9290, 0.1113
0.638, -0.0840, -0.2240
0.644, 0.2011, -0.2614
0.651, -0.0516, -0.3618
0.657, -0.0259, 0.3989
0.663, -0.1336, -0.4003
0.669, 0.1221, 0.0064
0.676, -0.3338, 0.0239
0.682, -0.3870, -0.0999
0.688, -0.2261, -0.2247
0.694, 0.0420, 0.0243
0.701, 0.2165, -0.4573
0.707, -0.1654, -0.2727
0.713, 0.1145, 0.2023
0.719, -0.2232, -0.0491
0.726, 0.4135, 0.1122
0.738, 0.0668, 0.0380
0.744, -0.3190, 0.2044
0.751, 0.0420, -0.2848
0.757, -0.2682, 0.5131
0.763, -0.1241, -0.3341
0.769, 0.0183, -0.1023
0.776, -0.4344, -0.0487
0.782, -0.7028, 0.1327
0.788, -0.2211, -0.2291
0.794, 0.1209, -0.1304
0.801, -0.4292, 0.3722
0.807, -0.6334, -0.5356
0.813, 0.1441, -0.2193
0.819, -0.1076, -0.0469
0.826, -0.3750, -0.2049
0.832, 0.0309, -0.3229
0.838, -0.0854, 0.2174
0.844, -0.5579, -0.0337
0.851, 0.1296, -0.0654
0.857, -0.9339, 0.1845
0.863, -0.3961, 0.1802
0.869, -0.2809, 0.0342
0.876, -0.5745, -0.3682
0.882, 0.0355, -0.2272
0.888, -0.5734, -0.5405
0.894, 0.2062, 0.2743
0.901, -0.2333, -0.1884
0.907, 0.2192, 0.0374
0.913, -0.2432, -0.2404
0.919, -0.4369, -0.0637
0.926, 0.1348, -0.1812
0.932, 0.0503, 0.1486
0.938, -0.5133, -0.1308
0.944, 0.4477, -0.2738
0.951, -0.3632, 0.3213
0.957, 0.0183, -0.3610
0.963, 0.1981, -0.0944
0.969, -0.4498, -0.2254
0.976, -0.0682, -0.0631
0.982, -0.4440, -0.3075
0.988, 0.3580, -0.0774
0.994, -1.0658, -0.0088
1.001, 0.2797, -0.1892
1.007, -0.2766, 0.1835
1.013, -0.2109, -0.3523
1.019, -0.3108, 0.0095
1.026, -0.0729, 0.1106
1.032, 0.1619, 0.2751
1.038, -0.4737, -0.4373
1.044, 0.3783, 0.0434
1.051, -0.3444, -0.2769
1.057, -0.2949, 0.1123
1.063, -0.3968, -0.0891
1.069, -0.0301, -0.0570
1.076, 0.0520, -0.0989
1.082, -0.3700, -1.1498
1.088, 0.1739, 0.3628
1.094, -0.5279, -0.3051
1.101, 0.2233, 0.1981
1.107, -0.3238, -0.2681
1.113, -1.0612, -0.1422
1.119, -0.0235, -0.1458
1.126, -0.2888, 0.0925
1.132, -0.7471, 0.0570
1.138, -0.0864, -0.2393
1.144, -0.0955, 0.3881
1.151, -0.5209, -0.2353
1.157, -0.1548, -0.2831
1.163, 0.1397, 0.0868
1.169, 0.0405, 0.2481
1.176, -1.3634, -0.4375
1.182, 0.2604, 0.0025
1.188, -0.7251, 0.0796
1.194, 0.4226, -0.5448
1.201, 0.0792, 0.0401
1.207, -0.2858, -0.4044
1.213, -0.0485, -0.0198
1.219, -0.2655, -0.5147
1.226, 0.1325, 0.2075
1.232, -0.4225, -0.2550
1.238, 0.1227, -0.0926
1.244, -0.2014, -0.0152
1.251, 0.0668, -0.3974
1.257, 0.0525, -0.2443
1.263, 0.0349, 0.0467
1.269, -0.0110, 0.0910
1.276, -0.2500, -0.1904
1.282, -0.1622, 0.1391
1.288, -0.7341, -0.6909
1.294, -0.0237, 0.1716
1.301, -0.8073, 0.5049
1.307, 0.0793, -0.5333
1.313, -0.0635, -0.0073
1.319, 0.1334, -0.0614
1.326, 0.2138, 0.3756
1.332, -0.3424, -0.3147
1.338, -0.1177, 0.0078
1.344, -0.4397, -0.2688
1.351, -0.1746, 0.0835
1.357, -0.0703, 0.0257
1.363, 0.0597, -0.7318
1.369, 0.0703, 0.2752
1.376, -0.2901, -0.3872
1.382, 0.0074, -0.1088
1.388, -0.3497, -0.2085
1.394, -0.4088, 0.1861
1.401, -0.3202, -0.2970
1.407, 0.1870, -0.2499
1.413, -0.1307, 0.1304
1.419, -0.0670, -0.6457
1.426, -0.4270, 0.4760
1.432, -0.3232, -0.3706
1.438, 0.1736, 0.0011
1.444, -0.0847, 0.0933
1.451, 0.0121, -0.1931
1.457, -0.5996, -0.5796
1.469, -0.8295, -0.3231
1.476, 0.1116, -0.0354
1.482, -0.2443, -0.1267
1.488, -0.0675, -0.0270
1.494, -0.1383, 0.0263
1.501, -0.2187, -0.3860
1.507, -0.0176, -0.0460
1.513, -0.0965, -1.0161
1.519, -0.0878, 0.5124
1.526, -0.1418, -0.3136
1.532, -0.2487, -0.2917
1.538, 0.0278, -0.2826
1.544, -0.0354, 0.1332
1.551, -0.3394, -0.2614
1.557, 0.1601, 0.0408
1.563, -0.8542, -0.0231
1.569, 0.2530, -0.2810
1.576, -0.4075, 0.0864
1.582, -0.2154, -0.1440
1.588, -0.0946, -0.1986
1.594, 0.0668, 0.0338
1.601, -0.0461, 0.0662
1.607, -0.2336, -0.1001
1.613, -0.3919, -0.1366
1.619, 0.3789, -0.3354
1.626, 0.1213, -0.1701
1.632, -0.3818, -0.0439
1.638, -0.2721, -0.6456
1.644, 0.2660, 0.1831
1.651, 0.0667, -0.0837
1.657, 0.4613, 0.0489
1.663, -0.3297, -0.0467
1.669, -0.2910, 0.1316
1.676, 0.1890, -0.0003
1.682, 0.0453, 0.0715
1.688, -0.2880, 0.4176
1.694, 0.0266, 0.0924
1.701, 0.0593, 0.2099
1.707, -0.2234, -0.0157
1.713, -0.2038, -0.1097
1.719, -0.4597, -0.1089
1.726, -0.2425, 0.1242
1.732, -0.0778, -0.0909
1.738, -0.5731, -0.5878
1.744, 0.1145, 0.1850
1.751, -0.1697, -0.1979
1.757, -0.2396, -0.0181
1.763, 0.3608, -0.2709
1.769, 0.0887, 0.0837
1.776, 0.4173, -0.6142
1.782, -0.3652, -0.9518
1.788, -0.0276, 0.3368
1.794, -0.2522, -0.1199
1.801, 0.1913, 0.0753
1.807, 0.3214, -0.1585
1.813, -0.4287, 0.2480
1.819, 0.0600, 0.1278
1.826, -0.3878, -0.0841
1.832, -0.0565, 0.2246
1.838, -0.1827, -0.3148
1.844, 0.1865, 0.0907
1.851, -0.0826, 0.0702
1.857, -0.1779, 0.0393
1.863, -0.2661, -0.1820
1.869, 0.0097, -0.0076
1.876, -0.2334, -0.5577
1.882, -0.1687, -1.1173
1.888, 0.0924, 0.2639
1.894, -0.0963, -0.0588
1.901, 0.0602, -0.0774
1.907, 0.2819, 0.1355
1.913, -0.2359, 0.1313
1.919, -0.3536, -0.1611
1.926, -0.0114, -0.7265
1.932, -0.0839, 0.5920
1.938, -0.1761, -0.2728
1.944, 0.1410, 0.0036
1.951, -0.6710, -0.2179
1.957, -0.4690, -0.1739
1.963, -0.2370, -0.3482
1.969, 0.2251, 0.1020
1.976, -0.2415, -0.0486
1.982, 0.1420, 0.0459
1.988, -0.7390, -0.2477
1.994, -0.2167, 0.0253
2.001, -0.2670, 0.5004
2.007, -0.1789, -0.3004
2.013, -0.0969, -0.1589
2.019, -0.5004, -0.7338
2.026, 0.6299, 0.8774
2.032, -0.0241, 0.2090
2.038, -0.1897, -0.0735
2.044, 0.2517, 0.0252
2.051, -1.0669, 0.7119
2.057, -0.4246, -0.1648
2.063, 0.3437, -0.1115
2.069, -0.3422, 0.0871
2.076, -0.3793, -0.8977
2.082, 0.1751, -0.0483
2.088, -0.1885, -0.0273
2.094, -0.8547, -0.3075
2.101, 0.2547, 0.0133
2.107, 0.1588, 0.0558
2.113, -0.9575, 0.1225
2.119, 0.2115, -0.6520
2.126, -0.1896, 0.3657
2.132, -0.2770, -0.5599
2.138, -0.1017, -0.2114
2.144, -0.2168, -0.0848
2.151, -0.3143, -0.1366
2.157, -0.3685, -0.1889
2.163, 0.4034, -0.0311
2.169, -0.5928, 0.0471
2.176, -0.1255, -0.6861
2.182, -0.0057, -0.3042
2.194, -0.1856, -0.0105
2.201, 0.1394, -0.2685
2.207, 0.2851, -0.0045
2.213, -0.8165, 0.2450
2.219, 0.0495, -0.5815
2.226, -0.1846, 0.1411
2.232, 0.0391, 0.3085
2.238, -0.1693, -0.4234
2.244, -0.1131, -0.3477
2.251, -0.4995, -0.1898
2.257, -0.3859, -0.1005
2.263, -0.1613, -0.0225
2.269, -0.2534, -0.1928
2.276, 0.0747, -0.2929
2.282, 0.0564, -0.1742
2.288, -0.5432, 0.2603
2.294, -0.0628, 0.1960
2.301, 0.1510, 0.1010
2.307, 0.2269, 0.1328
2.313, -0.1224, -0.0252
2.319, -0.0682, -0.0741
2.326, -0.6818, 0.0841
2.332, 0.2024, -0.1875
2.338, -0.1018, 0.2297
2.344, -0.8791, -0.7066
2.351, 0.2347, 0.0051
2.357, -0.5587, -0.0362
2.363, -0.0160, -0.1766
2.369, -0.3982, 0.0901
2.376, -0.4526, -0.8337
2.382, -0.0727, -0.1602
2.388, -0.2743, -0.3595
2.394, 0.1352, 0.1413
2.401, -0.6427, -0.1770
2.407, -0.2050, 0.0186
2.413, -0.2169, -0.2915
2.419, -0.1752, 0.1786
2.426, 0.6063, -0.6429
2.432, -0.2323, -0.4114
2.438, 0.1637, 0.2158
2.444, -0.1248, -0.1371
2.451, 0.1779, 0.1123
2.457, 0.1324, 0.0492
2.463, -0.0637, 0.2602
2.469, 0.1352, -0.1322
2.476, -0.1388, -0.0298
2.482, -0.1217, 0.0398
2.488, -0.0253, -0.8011
2.494, 0.0840, 0.3315
2.501, -0.2786, -0.2927
2.507, 0.0738, -0.2453
2.513, 0.2806, 0.3402
2.519, -0.1624, -0.0769
2.526, 0.3104, 0.0912
2.532, 0.0476, 0.1630
2.538, -0.1051, -0.2023
2.544, 0.2085, -0.2167
2.551, -0.0980, 0.2801
2.557, -0.2022, -0.2132
