0.007, -0.0484, 0.0403, 0.0081
0.013, -0.2256, 0.0645, 0.1612
0.019, 0.2136, 0.1370, -0.3505
0.026, 0.0806, -0.0766, -0.0040
0.032, 0.0524, -0.1612, 0.1088
0.038, -0.2861, -0.0040, 0.2901
0.044, -0.0806, -0.0564, 0.1370
0.051, -0.1128, 0.1612, -0.0484
0.057, 0.1974, 0.1692, -0.3667
0.063, -0.0604, -0.1088, 0.1692
0.069, 0.1491, -0.0443, -0.1048
0.076, 0.0967, 0.0443, -0.1410
0.082, -0.1007, -0.0363, 0.1370
0.088, 0.1974, -0.0685, -0.1289
0.094, 0.1773, 0.1652, -0.3425
0.101, -0.0806, 0.0242, 0.0564
0.107, 0.0121, -0.0201, 0.0081
0.113, 0.0282, 0.0927, -0.1209
0.119, -0.1652, 0.0524, 0.1128
0.126, -0.2297, 0.0161, 0.2136
0.132, 0.1451, 0.1612, -0.3062
0.138, -0.2136, 0.0161, 0.1974
0.144, -0.1007, -0.1612, -0.1612
0.151, 0.2055, 0.0484, -0.2538
0.157, 0.0161, -0.0645, 0.0484
0.163, -0.0524, 0.1289, -0.0766
0.169, 0.2418, 0.2579, -0.4996
0.176, 0.0927, 0.1451, -0.2377
0.182, -0.3183, -0.0282, 0.3465
0.188, -0.1289, -0.0886, 0.2176
0.194, 0.0040, 0.1330, -0.1370
0.201, -0.1410, -0.1813, 0.3223
0.207, 0.0967, -0.3425, 0.2458
0.213, 0.1330, -0.0524, -0.0806
0.219, -0.4755, -0.4432, 0.9187
0.226, 0.0645, 0.0040, -0.0685
0.232, 0.1773, 0.0604, -0.2377
0.238, 0.0685, 0.1330, -0.2015
0.244, 0.3908, -0.0604, -0.3304
0.251, -0.1531, 0.0363, 0.1169
0.257, 0.1088, -0.1007, -0.0081
0.263, -0.2619, 0.1370, 0.1249
0.269, 0.4755, 0.7777, -1.2531
0.276, -0.1209, -0.0766, 0.1974
0.282, -0.0685, -0.0121, 0.0806
0.288, -0.0040, -0.1491, 0.1531
0.294, -0.3022, -0.1128, 0.4150
0.301, -0.0725, -0.1934, 0.2659
0.307, 0.2700, -0.1531, -0.1168
0.313, 0.1169, 0.0443, -0.1612
0.319, 0.3183, -0.0443, -0.2740
0.326, 0.1853, 0.0282, -0.2136
0.332, 0.0040, -0.0685, 0.0645
0.338, 0.0403, 0.1813, -0.2216
0.344, 0.2861, 0.1612, -0.4473
0.351, 0.0725, -0.5158, 0.4432
0.357, -0.3788, -0.0645, 0.4432
0.363, -0.1370, -0.1330, 0.2700
0.369, -0.2740, 0.0766, 0.1974
0.376, 0.1128, -0.0967, -0.0161
0.382, -0.1571, 0.0967, 0.0604
0.388, -0.1289, -0.1531, 0.2821
0.394, -0.1773, -0.3264, 0.5037
0.401, 0.1289, 0.1330, -0.2619
0.407, 0.2418, -0.0040, -0.2377
0.413, 0.0645, 0.0040, -0.0685
0.419, 0.2176, 0.0242, -0.2418
0.426, 0.1128, 0.2458, -0.3586
0.432, -0.1410, -0.2619, 0.4029
0.438, -0.0604, -0.2498, 0.3103
0.444, -0.0484, 0.1894, -0.1410
0.451, 0.1249, 0.0564, -0.1813
0.457, 0.2579, 0.2055, -0.4634
0.463, 0.4029, 0.0040, -0.4070
0.469, -0.1370, -0.1451, 0.2821
0.476, 0.0927, -0.0443, -0.0484
0.482, 0.0403, 0.0806, -0.1209
0.488, 0.1894, 0.2095, -0.3989
0.494, 0.1128, -0.0282, -0.0846
0.501, -0.0645, 0.1894, -0.1249
0.507, 0.0604, -0.1571, 0.0967
0.513, -0.1773, -0.0484, 0.2256
0.519, 0.2015, 0.1451, -0.3465
0.526, 0.1692, -0.0403, -0.1289
0.532, 0.1612, 0.0363, -0.1974
0.538, -0.0443, -0.3385, 0.3828
0.544, -0.1249, 0.0161, 0.1088
0.551, 0.0040, -0.1733, 0.1692
0.557, 0.1048, 0.0403, -0.1451
0.563, 0.3667, 0.2700, -0.6366
0.569, 0.1894, -0.0927, -0.0967
0.576, 0.2700, 0.2740, -0.5440
0.582, 0.8381, 0.9509, -1.7890
0.588, 0.0000, 0.3344, -0.3344
0.594, 0.2297, 0.2095, -0.4392
0.601, -0.0927, 0.0524, 0.0403
0.607, 0.1289, -0.0363, -0.0927
0.613, -0.1813, -0.2458, 0.4271
0.619, 0.4755, 0.2337, -0.7092
0.626, 0.1692, 0.1612, -0.3304
0.632, 0.1491, 0.1531, -0.3022
0.638, 0.2297, -0.0403, -0.1894
0.644, -0.2015, -0.1612, 0.3626
0.651, 0.2941, 0.0403, -0.3344
0.657, -0.0443, 0.0886, -0.0443
0.663, 0.1491, 0.3989, -0.5480
