0.01, -7.67, -29.05
0.01, 1.53, -34.71
0.02, 12.27, -26.97
0.03, 24.54, -13.60
0.03, 33.75, -2.86
0.04, 39.88, 5.98
0.04, 35.28, 12.61
0.05, 42.95, 17.51
0.06, 36.82, 19.97
0.06, 41.42, 21.19
0.07, 32.21, 21.65
0.07, 33.75, 21.23
0.08, 27.61, 20.12
0.09, 21.48, 18.37
0.09, 12.27, 15.55
0.10, 3.07, 12.40
0.11, -4.60, 8.66
0.11, -10.74, 4.62
0.12, -12.27, 0.12
0.13, -18.41, -3.12
0.13, -23.01, -5.97
0.14, -26.08, -8.52
0.14, -27.61, -10.99
0.15, -27.61, -12.49
0.16, -23.01, -13.42
0.16, -23.01, -13.73
0.17, -18.41, -13.32
0.18, -15.34, -12.41
0.18, -13.81, -11.12
0.19, -6.14, -9.50
0.19, 1.53, -6.95
0.20, 4.60, -4.37
0.21, 6.14, -1.80
0.21, 7.67, 0.43
0.22, 9.20, 2.45
0.23, 12.27, 3.77
0.23, 12.27, 4.82
0.24, 15.34, 5.69
0.24, 13.81, 6.38
0.25, 12.27, 6.81
0.26, 9.20, 6.84
0.26, 7.67, 6.38
0.27, 3.07, 5.33
0.28, 1.53, 4.09
0.28, -1.53, 2.69
0.29, -4.60, 1.29
0.29, -4.60, -0.18
0.30, -4.60, -1.21
0.31, -6.14, -2.02
0.31, -6.14, -2.62
0.32, -4.60, -2.98
0.32, -4.60, -3.04
0.33, -3.07, -2.85
0.34, -1.53, -2.37
0.34, 0.00, -1.80
0.35, 0.00, -1.20
0.36, 0.00, -0.61
0.36, 1.53, -0.09
0.37, 1.53, 0.18
0.37, 0.00, 0.32
0.38, 0.00, 0.36
0.39, 0.00, 0.30
0.39, 0.00, 0.22
0.40, 0.00, 0.13
0.41, 0.00, 0.03
0.41, 0.00, -0.04
0.42, 1.53, -0.06
0.42, 0.00, -0.05
0.43, 0.00, -0.03
0.44, 0.00, -0.02
0.44, 0.00, -0.02
0.45, 0.00, -0.05
0.46, 0.00, -0.07
0.46, 0.00, -0.07
0.47, 0.00, -0.05
0.47, 0.00, -0.01
0.48, 0.00, 0.02
0.49, -1.53, 0.03
0.49, 0.00, -0.02
0.50, 0.00, -0.06
0.51, 0.00, -0.07
0.51, 0.00, -0.04
0.52, 0.00, -0.02
0.52, 0.00, -0.02
0.53, 0.00, -0.06
0.54, 0.00, -0.06
0.54, 0.00, -0.06
0.55, 0.00, -0.04
0.56, 0.00, -0.04
0.56, 0.00, -0.03
0.57, 0.00, -0.03
0.57, 0.00, -0.03
0.58, 0.00, 0.00
0.59, 0.00, 0.01
0.59, 1.53, 0.01
0.60, 0.00, 0.03
0.61, 0.00, 0.03
0.61, 0.00, 0.01
0.62, 0.00, -0.01
0.62, 0.00, -0.03
0.63, 0.00, -0.02
0.64, 0.00, -0.02
0.64, 0.00, -0.02
0.65, 0.00, -0.02
0.66, 0.00, -0.02
0.67, 0.00, -0.05
0.67, 0.00, -0.05
0.68, 0.00, -0.02
0.69, 0.00, -0.01
0.69, 0.00, -0.01
